iyear,ingroup,ingroup2,ingroup3,nperps,nperpcap,nkill,nkillter,nwound,nwoundte,propextent,propvalue
1970,638,,,2,2,0,0,0,0,3,100000
1970,-9,,,-99,-99,0,0,0,0,3,10000
1970,-9,,,-99,-99,0,0,0,0,4,
1970,612,,,3,3,0,0,1,0,,
1970,2373,,,-99,-99,0,0,0,0,,
1970,1231,,,,,0,,0,,,
1970,-9,,,,,0,,0,,3,0
1970,-9,,,,,0,,0,,3,1000
1970,-9,,,,,0,,0,,,
1970,-9,,,2,-99,0,0,0,0,3,
1970,612,,,-99,-99,0,0,0,0,3,
1970,-9,,,,,,,,,,
1970,453,,,-99,-99,0,0,0,0,3,
1970,-9,,,,,,,,,,
1970,2324,,,,,,,,,,
1970,638,,,-99,-99,1,0,3,0,,
1970,-9,,,,,0,,0,,3,0
1970,2373,,,-99,-99,0,0,0,0,3,
1970,453,,,-99,-99,0,0,0,0,4,
1970,638,,,-99,-99,0,0,0,0,4,
1970,453,,,-99,-99,0,0,0,0,4,
1970,453,,,-99,-99,0,0,0,0,4,
1970,2373,,,2,2,2,0,0,0,3,
1970,453,,,-99,-99,0,0,0,0,3,
1970,2373,,,3,-99,0,0,0,0,3,
1970,6008,,,5,,0,,0,,,
1970,-9,,,,,0,,0,,3,1500
1970,453,,,-99,-99,0,0,0,0,3,
1970,453,,,-99,-99,0,0,0,0,3,
1970,831,,,6,,0,0,0,0,,
1970,453,,,-99,-99,0,0,0,0,3,
1970,453,,,-99,-99,0,0,0,0,4,
1970,388,,,4,,0,,0,,,
1970,453,,,-99,-99,0,0,0,0,3,
1970,-9,,,3,,0,,0,,,
1970,1236,,,-99,-99,0,0,0,0,,
1970,-9,,,,,1,,0,,,
1970,100046,,,,,0,,0,,3,20000
1970,1231,,,,,0,,0,,3,2500
1970,100046,,,3,,0,,0,,,
1970,100046,,,3,,0,,0,,,
1970,453,,,-99,-99,0,0,0,0,3,
1970,453,,,-99,-99,0,0,0,0,3,
1970,623,,,4,,0,,0,,,
1970,-9,,,,,0,,0,,,
1970,3832,,,,,,,,,,
1970,1231,,,,,0,,0,,,
1970,4659,,,1,,0,,0,,,
1970,623,,,5,,,,,,,
1970,623,,,,,0,,0,,,
1970,623,,,4,,1,,0,,,
1970,3502,,,22,,0,,0,,3,23500
1970,638,,,-99,-99,0,0,0,0,4,
1970,2333,,,,,,,,,,
1970,1231,,,,,0,,0,,,
1970,3433,,,,,0,,0,,,
1970,2373,,,-99,-99,0,0,0,0,3,
1970,453,,,-99,-99,0,0,0,0,3,
1970,-9,,,,,1,,0,,,
1970,-9,,,,,0,,0,,,
1970,2373,,,1,1,1,0,0,0,,
1970,3836,,,,,,,,,,
1970,453,,,-99,-99,0,0,0,0,3,600
1970,4816,,,,,4,,2,,3,1000
1970,3516,,,5,,,,,,3,2500
1970,10051,,,4,4,0,0,0,0,3,1000
1970,417,,,,,2,,,,,
1970,-9,,,,,,,,,,
1970,-9,,,,,,,,,,
1970,638,,,-99,0,1,0,0,0,,
1970,4659,,,,,1,,7,,3,2000
1970,453,,,-99,-99,0,0,1,0,3,500000
1970,1236,,,-99,-99,0,0,0,0,,
1970,623,,,5,,0,,0,,,
1970,4631,,,,,0,,0,,,
1970,453,,,2,2,0,0,0,0,3,
1970,2373,,,-99,-99,1,0,0,0,,
1970,623,,,6,,0,,0,,3,2500
1970,1110,,,-99,-99,0,0,0,0,3,2750
1970,4659,,,1,1,0,0,1,0,3,
1970,453,,,-99,-99,0,0,0,0,4,
1970,100003,,,,,1,,4,,2,1500000
1970,-9,,,6,,0,,0,,,
1970,453,,,-99,-99,0,0,0,0,3,
1970,-9,,,,,,,,,,
1970,1110,,,-99,-99,0,0,0,0,,
1970,638,,,-99,-99,0,0,0,0,3,
1970,453,,,-99,-99,0,0,0,0,4,
1970,4631,,,,,0,,0,,3,1500
1970,-9,,,,,0,,0,,3,5000
1970,453,,,-99,-99,0,0,0,0,4,
1970,453,,,-99,-99,0,0,0,0,,
1970,4631,,,,,0,,0,,,
1970,1110,,,-99,-99,0,0,0,0,3,
1970,619,,,,,0,,0,,,
1970,534,,,,,0,,0,,,
1970,623,,,4,,2,2,0,,3,160000
1970,1231,,,,,0,,0,,4,
1970,-9,,,2,,2,2,0,,3,25000
1970,2373,,,-99,-99,0,0,0,0,3,
1970,453,,,-99,-99,0,0,0,0,3,
1970,453,,,-99,-99,0,0,0,0,3,
1970,-9,,,-99,-99,0,0,0,0,,
1970,-9,,,,,0,,0,,,
1970,623,,,4,,0,,0,,3,15000
1970,417,,,,,1,1,,,,
1970,453,,,-99,-99,0,0,0,0,,
1970,453,,,-99,-99,0,0,0,0,,
1970,2373,,,1,1,0,0,2,0,3,
1970,453,,,-99,-99,0,0,0,0,3,10000
1970,838,,,2,,0,0,0,0,,
1970,838,,,2,,0,0,0,0,,
1970,838,,,9,,0,0,0,0,,
1970,838,,,2,,1,1,0,0,,
1970,20202,,,-99,-99,0,0,0,0,,
1970,3776,,,,,0,,0,,,
1970,362,,,3,,0,,0,,3,15000
1970,585,,,-99,-99,0,0,0,0,,
1970,1110,,,-99,-99,0,0,0,0,3,2000
1970,532,,,,,0,,0,,,
1970,623,,,4,,0,,0,,3,15000
1970,-9,,,3,,,,,,,
1970,1236,,,4,,0,,0,,,
1970,623,,,,,0,,0,,2,5000000
1970,623,,,,,0,,0,,3,15000
1970,362,,,6,,0,,2,,,
1970,4659,,,1,0,1,0,1,0,,
1970,2362,,,2,,0,,0,,3,2000
1970,1231,,,5,,1,,0,,,
1970,623,,,,,0,,0,,3,6000
1970,-9,,,,,0,,0,,3,2500
1970,-9,,,,,,,,,,
1970,1231,,,,,0,,0,,3,3000
1970,623,,,4,,0,,0,,,
1970,-9,,,,,0,,0,,3,3000
1970,1236,,,2,,0,,0,,,
1970,1720,,,,,1,,,,,
1970,4817,,,,,,,,,4,
1970,638,,,-99,-99,0,0,0,0,3,
1970,1799,,,,,0,,0,,,
1970,1110,,,-99,-99,0,0,0,0,3,50000
1970,508,,,4,4,0,0,0,0,3,2000
1970,-9,,,,,,,,,,
1970,619,,,,,0,,0,,,
1970,4508,,,,,0,,0,,,
1970,1231,,,,,0,,0,,3,1000
1970,1110,,,-99,-99,0,0,0,0,3,15000
1970,619,,,,,0,,0,,,
1970,-9,,,,,0,0,0,0,,
1970,3952,,,,,0,,0,,3,150000
1970,1231,,,,,0,,0,,3,400
1970,1231,,,,,0,,0,,3,100000
1970,1231,,,,,0,,0,,,
1970,623,,,,,0,,0,,3,50000
1970,3839,,,,,0,,0,,3,700
1970,3027,,,4,4,0,0,0,0,3,
1970,4508,,,4,,1,,0,,,
1970,2442,,,3,,0,,1,,,
1970,1231,,,-99,-99,0,0,0,0,3,50000
1970,1231,,,,,0,,0,,3,20000
1970,-9,,,,,,,,,,
1970,1231,,,,,0,,0,,3,1500
1970,623,,,,,0,,0,,3,5000
1970,623,,,,,0,,0,,3,5000
1970,623,,,,,0,,0,,3,5000
1970,623,,,,,0,,0,,4,
1970,2373,,,-99,-99,0,0,2,0,3,
1970,-9,,,,,,,,,3,50000
1970,-9,,,,,,,,,,
1970,-9,,,,,0,,0,,3,500000
1970,-9,,,,,0,,0,,,
1970,-9,,,,,0,,0,,4,
1970,2373,,,-99,-99,0,0,0,0,3,60000
1970,3433,,,,,0,,0,,,
1970,2373,,,-99,-99,0,0,0,0,3,
1970,3497,,,,,0,,0,,,
1970,3618,,,,,1,,0,,,
1970,-9,,,25,,0,0,0,0,,
1970,2373,,,-99,-99,0,0,0,0,3,
1970,4659,,,16,0,0,0,2,1,3,
1970,-9,,,-99,-99,0,0,1,0,3,
1970,-9,,,,,0,,0,,3,500000
1970,-9,,,,,1,,0,,,
1970,619,,,,,0,,0,,,
1970,3848,,,,,0,,0,,3,5000
1970,453,,,-99,-99,0,0,0,0,3,500
1970,453,,,-99,-99,0,0,0,0,3,
1970,453,,,2,-99,0,0,0,0,,
1970,453,,,-99,-99,0,0,0,0,3,7500
1970,453,,,-99,-99,0,0,0,0,3,
1970,453,,,-99,-99,0,0,0,0,3,
1970,453,,,-99,-99,0,0,0,0,,
1970,-9,,,4,,0,,0,,,
1970,-9,,,1,,1,,0,,,
1970,-9,,,,,0,0,0,0,3,15000
1970,-9,,,,,0,,0,,3,20000
1970,638,,,-99,-99,1,0,0,0,,
1970,1110,,,-99,-99,0,0,0,0,4,
1970,477,,,7,,0,,0,,3,502500
1970,477,,,11,,0,,0,,3,15000
1970,-9,,,,,,,,,,
1970,2373,,,-99,-99,0,0,0,0,3,100000
1970,1110,,,-99,-99,0,0,0,0,3,500
